text,label,all_old,predicao
ap s quentinhas alimenta cortada vasco acerta novo fornecedor,esporte,após quentinhas e alimentação cortada vasco acerta com novo fornecedor.,esporte
at d sonhar diz idoso faz enem busca terceiro diploma,educacao,até os <digit><digit> dá para sonhar diz idoso que faz o enem em busca do terceiro diploma.,educacao
brigadeiro aprova os m filha junta doa caneta veja hist rias segundo dia enem,educacao,brigadeiro da aprovação oração mãe e filha juntas doação de caneta: veja histórias do segundo dia do enem.,educacao
preparada diz filha professora candidata enem aracaju,educacao,estou preparada diz filha de professora e candidata do enem em aracaju.,educacao
hamburgada bem feita professora rj faz sucesso internet,educacao,hamburgada do bem feita por professora do rj faz sucesso na internet.,educacao
liberdade religiosa diz sabatista acre vai fazer prova enem domingo,educacao,liberdade religiosa diz sabatista no acre que vai fazer prova do enem domingo <digit><digit> .,educacao
mundo desabou diz aprovada lugar medicina uncisal saber resultado vestibular anulado,educacao,meu mundo desabou diz aprovada em <digit>º lugar em medicina na uncisal ao saber que resultado do vestibular foi anulado.,educacao
filha incentivou conta mulher ano prepara enem,educacao,minha filha me incentivou conta mulher de <digit><digit> anos que se prepara para o enem.,educacao
n entrem faculdade estudante sugere jovens tirem me experi ncias pessoais,educacao,não entrem na faculdade em <digit><digit><digit><digit>: estudante sugere que jovens tirem <digit> meses para experiências pessoais.,educacao
algu m vida lutar diz auxiliar limpeza m candidata enem aracaju,educacao,para ser alguém na vida tem que lutar diz auxiliar de limpeza e mãe de candidata do enem em aracaju.,educacao
prefiro aprender escola usando internet diz garota ganhou r mil pr mio explicar teoria einstein,educacao,prefiro aprender fora da escola usando internet diz garota que ganhou r$ <digit><digit><digit> mil em prêmio ao explicar teoria de einstein.,educacao
provas longas espero hoje melhores diz deficiente visual faz enem vez acre,educacao,provas muito longas espero que as de hoje estejam melhores diz deficiente visual que faz enem pela <digit>ª vez no acre.,educacao
terceira vez tento sonho diz candidata ac trabalha salgadeira quer cursar nutri,educacao,terceira vez que tento por um sonho diz candidata no ac que trabalha como salgadeira e quer cursar nutrição.,educacao
vaquinha investimento deve crescer brasil promete transformar investidor acionista startup dizem especialistas,economia,vaquinha de investimento deve crescer no brasil e promete transformar investidor em acionista de startup dizem especialistas .,economia
rico concentra toda renda brasil diz estudo,economia,<digit>% mais ricos concentra <digit><digit>% de toda a renda no brasil diz estudo.,economia
candidato sair enem ro diz chutou tudo fiz obrigado m,educacao,<digit>° candidato a sair do enem em ro diz que chutou tudo: fiz obrigado pela minha mãe.,educacao
coisas voc precisa saber acompanhar super bowl,esporte,<digit><digit> coisas que você precisa saber para acompanhar o super bowl .,esporte
hit marcaram g comenta v deo m sicas bombaram neste ano,musica,<digit><digit> hits que marcaram <digit><digit><digit><digit>: g<digit> comenta em vídeo as músicas que bombaram neste ano.,musica
maiores recall ve culos brasil somam quase milh e unidades,carros,<digit><digit> maiores recalls de veículos no brasil somam quase <digit> milhões de unidades,carros
mil motociclistas fazem passeio alemanha,carros,<digit><digit> mil motociclistas fazem passeio na alemanha,carros
motivos quais fala tanto tesla,carros,<digit><digit> motivos pelos quais se fala tanto da tesla,carros
milh e brasileiros produzem algo consumo pr prio revela ibge,economia,<digit><digit> <digit> milhões de brasileiros produzem algo para consumo próprio revela ibge.,economia
ano revolu russa veja mitos legados fatos essenciais podem cair enem vestibulares,educacao,<digit><digit><digit> anos da revolução russa: veja mitos legados e fatos essenciais que podem cair no enem e nos vestibulares.,educacao
coisas voc precisa saber sobre jogos inverno pyeongchang,esporte,<digit><digit> coisas que você precisa saber sobre os jogos de inverno de pyeongchang.,esporte
concursos p blicos re mil vagas inscri e abertas pa s,economia,<digit><digit><digit> concursos públicos reúnem <digit><digit> <digit> mil vagas com inscrições abertas no país.,economia
sal rio termina nesta quarta feira prazo pagamento parcela,economia,<digit><digit>º salário: termina nesta quarta-feira prazo para pagamento da <digit>ª parcela.,economia
degraus minutos atleta ano vence corrida topo empire state,esporte,<digit><digit><digit><digit> degraus em <digit><digit> minutos: atleta de <digit><digit> anos vence corrida ao topo do empire state .,esporte
rodada reas petr leo prev arrecada r bi b nu,economia,<digit><digit>ª rodada de áreas de petróleo prevê arrecadação de r$ <digit> <digit> bi em bônus.,economia
concursos p blicos re mil vagas inscri e abertas pa s,economia,<digit><digit><digit> concursos públicos reúnem <digit><digit> <digit> mil vagas com inscrições abertas no país.,economia
coisas voc precisa saber sobre varej,esporte,<digit><digit> coisas que você precisa saber sobre varejão.,esporte
empresas inscrevem leil leo g s mar diz anp,economia,<digit><digit> empresas se inscrevem para leilão de óleo e gás em março diz anp.,economia
concursos p blicos re mil vagas inscri e abertas pa s,economia,<digit><digit><digit> concursos públicos reúnem <digit><digit> <digit> mil vagas com inscrições abertas no país.,economia
fase fuvest mil candidatos s carlos pirassununga neste domingo,educacao,<digit>ª fase da fuvest tem <digit> <digit> mil candidatos em são carlos e pirassununga neste domingo.,educacao
fase vestibular unesp aplicada nesta quarta mil candidatos,educacao,<digit>ª fase do vestibular <digit><digit><digit><digit> da unesp será aplicada nesta quarta para <digit><digit><digit> mil candidatos.,educacao
fase vestibular unesp absten,educacao,<digit>ª fase do vestibular <digit><digit><digit><digit> da unesp tem <digit> <digit>% de abstenção.,educacao
pontos analisa troca mandou griffin detroit nba,esporte,<digit> pontos analisa a troca que mandou griffin para o detroit na nba.,esporte
pontos debate crise cavalier trocas jogadores le e nba,esporte,<digit> pontos debate crise nos cavaliers trocas de jogadores e lesões na nba.,esporte
ano ap s deixar escola asg concilia filhos trabalho estudos fazer enem,educacao,<digit><digit> anos após deixar escola asg concilia filhos trabalho e estudos para fazer o enem <digit><digit><digit><digit>.,educacao
marcado oscila e pre gado,economia,<digit><digit><digit><digit> é marcado por oscilações no preço do gado.,economia
ano seguro j registrado viagens reas comerciais passageiros,economia,<digit><digit><digit><digit> é o ano mais seguro já registrado para viagens aéreas comerciais de passageiros.,economia
ano pol tica,politica,<digit><digit><digit><digit> será o ano da política.,politica
incerteza eleitoral batalha final lava jato,politica,<digit><digit><digit><digit>: a incerteza eleitoral e a batalha final da lava jato.,politica
pr mio educador nota inscri e prorrogadas,educacao,<digit><digit>º prêmio educador nota <digit><digit> tem inscrições prorrogadas.,educacao
estudantes austr lia sofreram as dio sexual ambiente universit rio diz estudo,educacao,<digit><digit>% dos estudantes da austrália sofreram assédio sexual no ambiente universitário diz estudo.,educacao
empresas rg recrutadoras re menos mil vagas est gio,economia,<digit><digit> empresas órgãos e recrutadoras reúnem pelo menos <digit> mil vagas de estágio.,economia
senadores investigados lava jato ficam foro privilegiado n elegerem,politica,<digit><digit> senadores investigados na lava jato ficam sem foro privilegiado se não se elegerem em <digit><digit><digit><digit>.,politica
profissionais rea s graduados enfermagem diz pesquisa fiocruz,educacao,<digit><digit>% dos profissionais da área são graduados em enfermagem diz pesquisa da fiocruz.,educacao
horas devem impedir amistoso brasil portugal ante copa,esporte,<digit><digit> horas devem impedir amistoso entre brasil e portugal antes da copa.,esporte
fase vestibular unesp candidatos regi neste domingo,educacao,<digit>ª fase do vestibular da unesp tem <digit>.<digit><digit><digit> candidatos na região neste domingo.,educacao
carlos marun novo ministro secretaria governo,politica,<digit>carlos marun será o novo ministro da secretaria de governo.,politica
governo quer aprovar reforma previd ncia at dia diz l der c mara,politica,<digit>governo quer aprovar reforma da previdência até dia <digit><digit> diz líder na câmara.,politica
pr mio caymmi m sica laureia diversa cena alternativa bahia,musica,<digit>º prêmio caymmi de música laureia a diversa cena alternativa da bahia.,musica
senado retira exig ncia placa vermelha uber projeto regulamenta voltar c mara,politica,<digit>senado retira exigência de placa vermelha para uber e projeto de regulamentação voltará à câmara.,politica
second to mar diz sentiu falta brasil m sica,musica,<digit><digit> seconds to mars diz que sentiu falta do brasil do açaí e da música.,musica
second to mar lan walk on water single ano divide f s virou imagine dragon,musica,<digit><digit> seconds to mars lança walk on water <digit>º single em <digit> anos e divide fãs: virou imagine dragons .,musica
candidatos enem faltam primeiro dia prova diz inep,educacao,<digit><digit> <digit>% dos candidatos do enem <digit><digit><digit><digit> faltam no primeiro dia de prova diz inep.,educacao
candidatos enem faltam segundo dia prova diz inep,educacao,<digit><digit>% dos candidatos do enem <digit><digit><digit><digit> faltam no segundo dia de prova diz inep.,educacao
candidatos enem amap faltam dia prova diz inep,educacao,<digit><digit> <digit>% dos candidatos do enem <digit><digit><digit><digit> no amapá faltam no <digit>º dia de prova diz inep.,educacao
escolas t cnicas s paulo v inaugurar modelo proposto reforma ensino m dio,educacao,<digit><digit> escolas técnicas de são paulo vão inaugurar modelo proposto pela reforma do ensino médio.,educacao
professores educa infantil n t m diploma entenda import ncia forma pedagogia,educacao,<digit><digit>% dos professores de educação infantil não têm diploma entenda a importância da formação em pedagogia.,educacao
escolas municipais ensino fundamental t m bibliotecas particulares ndice diz censo,educacao,<digit><digit>% das escolas municipais de ensino fundamental têm bibliotecas nas particulares índice é de <digit><digit>% diz censo.,educacao
coisas ainda desanimadoras rotina professor brasil coisas est melhorando,educacao,<digit> coisas ainda desanimadoras da rotina do professor no brasil – e <digit> coisas que estão melhorando.,educacao
empresas abrem vagas est gio trainee,economia,<digit> empresas abrem vagas de estágio e trainee.,economia
empresas re cerca mil vagas emprego diversas reas,economia,<digit> empresas reúnem cerca de <digit> <digit> mil vagas de emprego em diversas áreas.,economia
ideias karl marx seguem viva apesar fracasso ur comunismo,educacao,<digit> ideias de karl marx que seguem vivas apesar do fracasso da urss e do comunismo.,educacao
cursos mestrado doutorado obt m nota m xima outros podem descredenciados cape,educacao,<digit>% dos cursos de mestrado e doutorado obtêm nota máxima e outros <digit>% podem ser descredenciados pela capes.,educacao
milh inscritos fizeram provas encceja diz inep,educacao,<digit><digit>% dos <digit> <digit> milhão de inscritos fizeram as provas do encceja <digit><digit><digit><digit> diz inep.,educacao
revolu industrial rob s conversando rob s internet v mudar vida,economia,<digit>ª revolução industrial: como robôs conversando com robôs pela internet vão mudar sua vida.,economia
bilion rio brasileiros concentram mesma riqueza metade pobre pa s diz estudo,economia,<digit> bilionários brasileiros concentram mesma riqueza que metade mais pobre no país diz estudo.,economia
formas simple ganhar dinheiro youtube,economia,<digit> formas simples de ganhar dinheiro com o youtube.,economia
second of summer junta clich s rock pop adolescente faz gente dormir rock in rio,musica,<digit> seconds of summer junta clichês do rock e do pop adolescente e faz gente dormir no rock in rio.,musica
cent diz esqueceu bitcoins recebidas cujo valor chega u milh e,musica,<digit><digit> cent diz que se esqueceu de bitcoins recebidas em <digit><digit><digit><digit> cujo valor chega a us$ <digit> <digit> milhões.,economia
ano reforma protestante veja mitos legados fatos essenciais podem cair enem vestibulares,educacao,<digit><digit><digit> anos da reforma protestante: veja mitos legados e fatos essenciais que podem cair no enem e nos vestibulares.,educacao
institui e educa b sica usam celular atividades escolares aponta estudo cetic,educacao,<digit><digit>% das instituições de educação básica usam celular em atividades escolares aponta estudo da cetic.,educacao
jovens brasileiros est ensino m dio m dia ocde,educacao,<digit><digit>% dos jovens brasileiros estão no ensino médio média da ocde é de <digit><digit>%.,educacao
alunos ano rede p blica t m conhecimento insuficiente matem tica leitura diz mec,educacao,<digit><digit>% dos alunos de <digit> anos da rede pública têm conhecimento insuficiente em matemática e leitura diz mec.,educacao
trabalhadores formais est insatisfeitos trabalho revela pesquisa,economia,<digit><digit>% dos trabalhadores formais estão insatisfeitos com o trabalho revela pesquisa.,economia
mil inscritos encceja bra lia t m novo local prova,educacao,<digit><digit> mil inscritos para o encceja em brasília têm novo local de prova.,educacao
g rede celular vai permitir velocidades gbps conversas drone,economia,<digit>g: rede de celular vai permitir velocidades de <digit> gbps e conversas entre drones.,economia
horas jogo atletas diferentes raio x mogi x paulistano,esporte,<digit> horas de jogo <digit><digit> atletas diferentes... o raio-x de mogi x paulistano em <digit><digit><digit><digit> <digit><digit>.,esporte
quest e entender bolsas todo mundo est caindo at onde movimento vai,economia,<digit> questões para entender por que as bolsas em todo o mundo estão caindo e até onde esse movimento vai.,educacao
milh e brasileiros restri cr dito final,economia,<digit><digit> <digit> milhões de brasileiros tinham restrição ao crédito no final de <digit><digit><digit><digit>.,economia
milh e meninas n t m acesso educa mundo diz unesco,educacao,<digit><digit> milhões de meninas não têm acesso à educação no mundo diz unesco.,educacao
coisas danificam bateria celular evit la,economia,<digit> coisas que danificam a bateria de seu celular - e como evitá-las.,economia
empresas re menos vagas trabalho v rio estados,economia,<digit> empresas reúnem pelo menos <digit><digit><digit> vagas de trabalho em vários estados.,economia
sinai celular hackeado fazer,economia,<digit> sinais de que o seu celular foi hackeado e o que fazer .,economia
ano vasco volta chile ap s trof u esquecido topo am rica,esporte,<digit><digit> anos depois: vasco volta ao chile após troféu esquecido e topo da américa.,esporte
inscritos enem conseguiram inscri gratuita,educacao,<digit><digit>% dos inscritos no enem <digit><digit><digit><digit> conseguiram inscrição gratuita.,educacao
mil declara e ca ram malha fina imposto renda anuncia receita,economia,<digit><digit><digit> mil declarações caíram na malha fina do imposto de renda <digit><digit><digit><digit> anuncia receita.,economia
